,Indicator,year,Indicator_no,Total_pregnant_women_registered_ANC,Total_registered_within_first_trimester,Total_registered_under_JSY,Perc_1st_Trimester_regis_to_Total_ANC_regis,Perc_JSY_regis_total_ANC_regis,Total_received_3_ANC_check_ups,Booster_given_numbers,Perc_received_3_ANC_check_ups_to_Total_ANC_regis,Perc_received_Booster_to_Total_ANC_regis,Total_given_100_IFA_tablets,Perc_given_100_IFA_to_Total_ANC_regis,Number_having_Hb_level_11_tested_cases,Number_having_severe_anaemia_Hb_7_treated_at_institutin,Perc_having_severe_anaemia_Hb7_treated_at_institution_to_women_having_hb_level_11,Perc_New_cases_detected_at_institution_for_hypertension_to_Total_ANC_regis,Total_home_deliveries,home_deliveries_attended_by_SBA_trained_Doctor_Nurse,home_deliveries_attended_by_Non_SBA_trained,Perc_SBA_attended_home_deliveries_to_Total_Reported_Home_Deliveries,Mothers_paid_JSY_incentive_for_home_deliveries,Perc_Mothers_paid_JSY_incentive_for_home_deliveries_to_Total_Reported_Home_Deliveries,Deliveries_Conducted_at_Public_Institutions,Institutional_deliveries_Public_Insts_Pvt_Insts,Perc_Institutional_Deliveries_to_total_ANC_registration,Total_reported_deliveries,Perc_Institutional_deliveries_to_Total_Reported_Deliveries,Perc_Safe_deliveries_to_Total_Reported_Deliveries,Perc_Home_deliveries_to_Total_Reported_Deliveries,Number_of_C_section_deliveries_conducted_at_public_facilities,Number_of_C_section_deliveries_conducted_at_private_facilities,Perc_C_section_deliveries_institutional_to_reported_institutional_deliveries,Perc_C_sections_conducted_at_public_facilities_to_Deliveries_conducted_at_public_facilities,Perc_C_sections_conducted_at_Private_facilities_to_Deliveries_conducted_at_private_facilities,Perc_Deliveries_conducted_at_Public_Institutions_to_Total_Institutional_Deliveries,Perc_Deliveries_conducted_at_Private_Institutions_to_Total_Institutional_Deliveries,Total_reported_live_births,Perc_Total_Live_Births_to_Total_Deliveries,Total_Number_of_reported_Still_Births,Perc_Live_birth_to_Reported.Birth,Number_of_Newborns_weighed_at_birth,Perc_Newborns_weighed_at_birth_to_live_birth,Number_of_Newborns_having_weight_less_than_2.5.kg,Perc_Newborns_having_weight_less_than_2.5.kg_to_Newborns_weighed_at_birth
280,Mullasserry CHCArea,2014-15,13,1465,1235,531,84.3,36.2,1526,792,104.2,54.1,1315,89.8,8,1,12.5,0.5,1,0,1,0,0,0,0,67,4.6,68,98.5,98.5,1.5,0,51,76.1,NA,76.1,0,100,69,101.5,0,100,69,100,5,7.2
281,Ollur CHCArea,2014-15,13,2632,2030,743,77.1,28.2,2636,1488,100.2,56.5,1643,62.4,5,0,0,0.1,0,0,0,NA,0,NA,0,1722,65.4,1722,100,100,0,0,667,38.7,NA,38.7,0,100,1732,100.6,9,99.5,1732,100,152,8.8
282,Pamboor BPHCArea,2014-15,13,896,648,413,72.3,46.1,799,430,89.2,48,874,97.5,2,NA,0,0,1,0,1,0,0,0,2234,2234,249.3,2235,100,100,0,985,NA,44.1,44.1,NA,100,0,2235,100,0,100,2235,100,142,6.4
283,Pazhanji CHCArea,2014-15,13,2687,2226,937,82.8,34.9,2406,2192,89.5,81.6,2293,85.3,4,0,0,0.1,0,0,0,NA,0,NA,0,5847,217.6,5847,100,100,0,0,2216,37.9,NA,37.9,0,100,5844,99.9,3,99.9,5844,100,206,3.5
284,Perinjanam CHCArea,2014-15,13,2458,2149,938,87.4,38.2,2462,961,100.2,39.1,1639,66.7,0,0,NA,0,0,0,0,NA,0,NA,0,357,14.5,357,100,100,0,0,143,40.1,NA,40.1,0,100,361,101.1,0,100,361,100,22,6.1
285,Puthenchira CHCArea,2014-15,13,701,643,258,91.7,36.8,679,236,96.9,33.7,644,91.9,3,0,0,0.4,0,0,0,NA,0,NA,0,401,57.2,401,100,100,0,0,285,71.1,NA,71.1,0,100,408,101.7,0,100,408,100,46,11.3
286,TH Kunnamkulam,2014-15,13,133,110,54,82.7,40.6,260,1073,195.5,806.8,997,749.6,155,26,16.8,27.8,NA,NA,NA,NA,NA,NA,174,1169,878.9,1169,100,100,0,79,739,70,45.4,74.3,14.9,85.1,1172,100.3,5,99.6,1172,100,126,10.8
287,THQH Chalakudy,2014-15,13,322,147,110,45.7,34.2,214,1621,66.5,503.4,1559,484.2,0,0,NA,7.8,NA,NA,NA,NA,NA,NA,286,3342,1037.9,3342,100,100,0,152,1738,56.6,53.1,56.9,8.6,91.4,3348,100.2,4,99.9,3345,99.9,399,11.9
288,THQH Chavakkad,2014-15,13,653,334,534,51.1,81.8,552,337,84.5,51.6,538,82.4,751,24,3.2,0,NA,NA,NA,NA,NA,NA,631,1423,217.9,1423,100,100,0,335,415,52.7,53.1,52.4,44.3,55.7,1427,100.3,2,99.9,1427,100,176,12.3
289,THQH Kodungallur,2014-15,13,189,108,171,57.1,90.5,183,2150,96.8,1137.6,541,286.2,593,64,10.8,51.3,NA,NA,NA,NA,NA,NA,1221,5116,2706.9,5116,100,100,0,615,1951,50.2,50.4,50.1,23.9,76.1,5145,100.6,8,99.8,5145,100,359,7
290,THQH Wadakanchery,2014-15,13,151,91,151,60.3,100,162,135,107.3,89.4,146,96.7,221,0,0,0,NA,NA,NA,NA,NA,NA,518,971,643,971,100,100,0,195,198,40.5,37.6,43.7,53.3,46.7,976,100.5,0,100,976,100,71,7.3
291,Thiruvilwamala CHCArea,2014-15,13,2571,2047,1356,79.6,52.7,2396,1384,93.2,53.8,2235,86.9,371,0,0,2.7,4,0,4,0,0,0,0,640,24.9,644,99.4,99.4,0.6,0,267,41.7,NA,41.7,0,100,648,100.6,2,99.7,648,100,43,6.6
292,Tholur CHCArea,2014-15,13,1986,1576,557,79.4,28,1682,1307,84.7,65.8,1718,86.5,10,0,0,0,0,0,0,NA,0,NA,0,4898,246.6,4898,100,100,0,0,1387,28.3,NA,28.3,0,100,4927,100.6,0,100,4927,100,227,4.6
293,Vadakkekad CHCArea,2014-15,13,1498,861,592,57.5,39.5,1289,267,86,17.8,1380,92.1,0,0,NA,0,1,0,1,0,0,0,0,219,14.6,220,99.5,99.5,0.5,0,76,34.7,NA,34.7,0,100,222,100.9,0,100,222,100,38,17.1
294,Vatanapilly CHCArea,2014-15,13,1829,1309,822,71.6,44.9,1514,2000,82.8,109.3,3871,211.6,142,3,2.1,0.2,1,0,1,0,0,0,0,731,40,732,99.9,99.9,0.1,0,302,41.3,NA,41.3,0,100,739,101,0,100,739,100,58,7.8
295,Vellangallur CHCArea,2014-15,13,994,783,431,78.8,43.4,993,484,99.9,48.7,1006,101.2,0,0,NA,0,0,0,0,NA,0,NA,0,392,39.4,392,100,100,0,0,196,50,NA,50,0,100,395,100.8,0,100,395,100,14,3.5
296,Vellanikkara CHCArea,2014-15,13,2055,1511,763,73.5,37.1,1563,867,76.1,42.2,857,41.7,0,0,NA,0,0,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
297,Vilvattom BPHCArea,2014-15,13,657,450,279,68.5,42.5,662,547,100.8,83.3,441,67.1,24,5,20.8,1.1,0,0,0,NA,0,NA,0,1603,244,1603,100,100,0,0,640,39.9,NA,39.9,0,100,1609,100.4,1,99.9,1609,100,57,3.5
299,CHC MEENANGADY,2014-15,14,3281,2797,2228,85.2,67.9,3197,1618,97.4,49.3,3090,94.2,940,10,1.1,4.5,30,4,26,13.3,1,3.3,1385,2343,71.4,2373,98.7,98.9,1.3,449,329,33.2,32.4,34.3,59.1,40.9,2381,100.3,12,99.5,2380,100,362,15.2
300,CHC MEPPADY,2014-15,14,1915,1705,1400,89,73.1,1781,2682,93,140.1,1997,104.3,480,33,6.9,19.7,13,0,13,0,0,0,284,3922,204.8,3935,99.7,99.7,0.3,58,895,24.3,20.4,24.6,7.2,92.8,4450,113.1,17,99.6,4446,99.9,478,10.8
301,CHC PORUNNANORE,2014-15,14,4522,3640,3473,80.5,76.8,4488,2476,99.2,54.8,4656,103,1663,2,0.1,1.6,101,3,98,3,3,3,0,0,0,101,0,3,100,0,0,NA,NA,NA,NA,NA,99,98,5,95.2,98,99,47,48
302,CHC PULPALLY,2014-15,14,2783,2349,1731,84.4,62.2,2761,1046,99.2,37.6,2503,89.9,953,2,0.2,1.9,79,6,73,7.6,3,3.8,5,28,1,107,26.2,31.8,73.8,0,6,21.4,0,26.1,17.9,82.1,102,95.3,5,95.3,101,99,25,24.8
303,CHC THARIYODE,2014-15,14,1625,1485,1141,91.4,70.2,1576,844,97,51.9,1649,101.5,518,0,0,0.6,17,2,15,11.8,0,0,0,0,0,17,0,11.8,100,0,0,NA,NA,NA,NA,NA,17,100,0,100,17,100,6,35.3
304,MANANTHAVADY,2014-15,14,112,89,90,79.5,80.4,119,827,106.3,738.4,130,116.1,922,118,12.8,25.9,0,0,0,NA,0,NA,1849,2536,2264.3,2536,100,100,0,357,197,21.8,19.3,28.7,72.9,27.1,2530,99.8,12,99.5,2524,99.8,584,23.1
305,SULTHAN BATHERY,2014-15,14,55,46,8,83.6,14.5,56,2018,101.8,3669.1,51,92.7,347,10,2.9,40,0,0,0,NA,0,NA,801,3158,5741.8,3158,100,100,0,227,993,38.6,28.3,42.1,25.4,74.6,3183,100.8,11,99.7,3182,100,516,16.2
306,THQH VYTHIRI,2014-15,14,50,48,41,96,82,48,466,96,932,154,308,168,9,5.4,56,0,0,0,NA,0,NA,623,1144,2288,1144,100,100,0,142,139,24.6,22.8,26.7,54.5,45.5,1145,100.1,3,99.7,1145,100,123,10.7
23,Ambalapuzha BPHCArea,2015-16,1,1727,1538,1724,89.1,99.8,1643,1113,95.1,64.4,1320,76.4,71,NA,0,2.4,1,1,0,100,0,0,0,101,5.8,102,99,100,1,0,49,48.5,NA,48.5,0,100,102,100,0,100,98,96.1,7,7.1
310,Arookutty CHCArea,2015-16,1,1374,1216,1042,88.5,75.8,1265,494,92.1,36,122,8.9,31,0,0,0.3,1,0,1,0,0,0,0,0,0,1,0,0,100,0,NA,NA,NA,NA,NA,NA,1,100,0,100,1,100,1,100
410,Chempumpuram CHCArea,2015-16,1,1239,1028,1018,83,82.2,1256,656,101.4,52.9,1108,89.4,14,0,0,1,4,1,3,25,0,0,0,117,9.4,121,96.7,97.5,3.3,0,50,42.7,NA,42.7,0,100,122,100.8,0,100,122,100,18,14.8
53,Chettikkad CHCArea,2015-16,1,1629,1505,1628,92.4,99.9,1584,856,97.2,52.5,1131,69.4,8,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,100,0,NA,NA,NA,NA,NA,NA,3,150,0,100,3,100,1,33.3
66,Chunakara CHCArea,2015-16,1,1992,1708,883,85.7,44.3,2043,1470,102.6,73.8,2164,108.6,13,0,0,0.6,1,1,0,100,0,0,0,776,39,777,99.9,100,0.1,0,491,63.3,NA,63.3,0,100,783,100.8,2,99.7,783,100,8,1
710,Kurathikad CHC Area,2015-16,1,1381,1071,750,77.6,54.3,1345,426,97.4,30.8,368,26.6,3,0,0,0.1,0,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
87,Medical College Hospital Alappuzha,2015-16,1,549,376,499,68.5,90.9,471,293,85.8,53.4,3780,688.5,66,0,0,13.3,0,0,0,NA,0,NA,0,339,61.7,339,100,100,0,0,191,56.3,NA,56.3,0,100,340,100.3,1,99.7,340,100,28,8.2
97,Muhama CHC Area,2015-16,1,1870,1677,1220,89.7,65.2,1674,1789,89.5,95.7,1369,73.2,102,1,1,0.9,0,0,0,NA,0,NA,0,2035,108.8,2035,100,100,0,0,1275,62.7,NA,62.7,0,100,2067,101.6,1,100,2067,100,374,18.1
1010,Muthukulam CHC Area,2015-16,1,2018,1714,1004,84.9,49.8,1861,811,92.2,40.2,214,10.6,11,0,0,0.7,0,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
1110,PP Unit Alappuzha,2015-16,1,0,0,0,NA,NA,0,0,NA,NA,0,NA,2,16,800,NA,NA,NA,NA,NA,NA,NA,4456,4456,NA,4456,100,100,0,1619,NA,36.3,36.3,NA,100,0,4526,101.6,1,100,4526,100,886,19.6
122,Pandanad CHC Area,2015-16,1,1792,1416,949,79,53,1707,1454,95.3,81.1,446,24.9,2,0,0,0.3,0,0,0,NA,0,NA,0,621,34.7,621,100,100,0,0,400,64.4,NA,64.4,0,100,622,100.2,0,100,622,100,69,11.1
1310,THQH Chenganoor,2015-16,1,189,136,142,72,75.1,195,301,103.2,159.3,636,336.5,41,0,0,11.6,NA,NA,NA,NA,NA,NA,364,574,303.7,574,100,100,0,172,142,54.7,47.3,67.6,63.4,36.6,578,100.7,1,99.8,578,100,70,12.1
149,THQH Cherthala,2015-16,1,408,352,165,86.3,40.4,529,997,129.7,244.4,54,13.2,253,0,0,0.7,NA,NA,NA,NA,NA,NA,1053,2235,547.8,2235,100,100,0,536,671,54,50.9,56.8,47.1,52.9,2245,100.4,3,99.9,2245,100,150,6.7
1510,THQH Haripad,2015-16,1,31,19,18,61.3,58.1,34,93,109.7,300,32,103.2,59,0,0,35.5,NA,NA,NA,NA,NA,NA,913,913,2945.2,913,100,100,0,679,NA,74.4,74.4,NA,100,0,914,100.1,0,100,914,100,62,6.8
1610,THQH Kayamkulam,2015-16,1,714,484,454,67.8,63.6,654,2208,91.6,309.2,2446,342.6,4,1,25,0.3,0,0,0,NA,0,NA,472,3057,428.2,3057,100,100,0,296,1008,42.7,62.7,39,15.4,84.6,3294,107.8,0,100,3293,100,420,12.8
1710,THQH Mavelikkara,2015-16,1,291,199,93,68.4,32,273,919,93.8,315.8,126,43.3,88,0,0,72.5,NA,NA,NA,NA,NA,NA,410,1197,411.3,1197,100,100,0,268,533,66.9,65.4,67.7,34.3,65.7,1210,101.1,1,99.9,1210,100,103,8.5
1810,THQH Pulinkunnu,2015-16,1,48,37,41,77.1,85.4,44,44,91.7,91.7,57,118.8,3,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
193,Thrikkunnapuzha CHC Area,2015-16,1,1917,1653,1383,86.2,72.1,1809,2368,94.4,123.5,1440,75.1,339,5,1.5,5.4,0,0,0,NA,0,NA,0,333,17.4,333,100,100,0,0,234,70.3,NA,70.3,0,100,335,100.6,1,99.7,335,100,11,3.3
2010,Thuravoor CHC Area,2015-16,1,2378,2097,1604,88.2,67.5,2194,1080,92.3,45.4,2006,84.4,27,0,0,0.5,0,0,0,NA,0,NA,0,1,0,1,100,100,0,0,NA,0,NA,0,0,100,1,100,0,100,1,100,0,0
217,Veliyanad CHC Area,2015-16,1,952,821,611,86.2,64.2,929,573,97.6,60.2,910,95.6,5,0,0,1.1,1,0,1,0,0,0,0,0,0,1,0,0,100,0,NA,NA,NA,NA,NA,NA,1,100,0,100,1,100,0,0
2210,W and C Hospital Alappuzha,2015-16,1,1311,974,1258,74.3,96,1680,959,128.1,73.2,871,66.4,1705,30,1.8,22,0,0,0,NA,0,NA,1802,1802,137.5,1802,100,100,0,962,NA,53.4,53.4,NA,100,0,1803,100.1,0,100,1803,100,110,6.1
2410,Ankamaly BPHCArea,2015-16,2,1543,1287,375,83.4,24.3,1277,1088,82.8,70.5,765,49.6,3,0,0,0.3,1,1,0,100,0,0,0,1930,125.1,1931,99.9,100,0.1,0,1271,65.9,NA,65.9,0,100,1936,100.3,0,100,1936,100,133,6.9
2510,Chengamanad CHCArea,2015-16,2,1841,1545,511,83.9,27.8,1583,774,86,42,1604,87.1,166,0,0,1.4,0,0,0,NA,0,NA,0,350,19,350,100,100,0,0,213,60.9,NA,60.9,0,100,355,101.4,1,99.7,355,100,58,16.3
266,Cheranalloor BPHCArea,2015-16,2,1864,1102,238,59.1,12.8,1681,868,90.2,46.6,1418,76.1,4,0,0,0.2,1,0,1,0,0,0,0,1276,68.5,1277,99.9,99.9,0.1,0,795,62.3,NA,62.3,0,100,1342,105.1,22,98.4,1342,100,278,20.7
2710,Ezhikkara CHCArea,2015-16,2,1763,1521,493,86.3,28,1583,1064,89.8,60.4,1394,79.1,5,0,0,0.3,0,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
2810,GH Ernakulam,2015-16,2,2960,1714,184,57.9,6.2,2635,5838,89,197.2,3306,111.7,976,49,5,3.1,0,0,0,NA,1,NA,2403,7636,258,7636,100,100,0,1169,2884,53.1,48.6,55.1,31.5,68.5,7663,100.4,27,99.6,7663,100,888,11.6
298,Kalady CHCArea,2015-16,2,1161,955,335,82.3,28.9,979,218,84.3,18.8,478,41.2,6,0,0,0.3,0,0,0,NA,0,NA,0,14,1.2,14,100,100,0,0,8,57.1,NA,57.1,0,100,14,100,0,100,14,100,1,7.1
307,Keechery CHCArea,2015-16,2,1711,1408,439,82.3,25.7,1531,486,89.5,28.4,1046,61.1,5,0,0,0.2,1,0,1,0,0,0,0,264,15.4,265,99.6,99.6,0.4,0,160,60.6,NA,60.6,0,100,265,100,0,100,265,100,6,2.3
311,Kumbalangi CHCArea,2015-16,2,789,729,409,92.4,51.8,769,339,97.5,43,246,31.2,3,0,0,0.8,0,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
321,Malayidamthuruth BPHCArea,2015-16,2,3334,2909,581,87.3,17.4,2947,761,88.4,22.8,3570,107.1,13,0,0,0.2,2,0,2,0,0,0,0,1194,35.8,1196,99.8,99.8,0.2,0,639,53.5,NA,53.5,0,100,1201,100.4,2,99.8,1201,100,90,7.5
331,Malippuram CHCArea,2015-16,2,2204,1967,1040,89.2,47.2,2069,786,93.9,35.7,1921,87.2,17,0,0,0.1,1,1,0,100,0,0,0,140,6.4,141,99.3,100,0.7,0,94,67.1,NA,67.1,0,100,142,100.7,0,100,142,100,12,8.5
341,Nettoor BPHCArea,2015-16,2,881,756,181,85.8,20.5,907,223,103,25.3,902,102.4,19,0,0,1.2,0,0,0,NA,0,NA,0,250,28.4,250,100,100,0,0,158,63.2,NA,63.2,0,100,253,101.2,1,99.6,253,100,32,12.6
351,Pallarimangalam BPHCArea,2015-16,2,959,812,415,84.7,43.3,934,741,97.4,77.3,365,38.1,11,0,0,0.7,0,0,0,NA,0,NA,0,99,10.3,99,100,100,0,0,61,61.6,NA,61.6,0,100,101,102,0,100,101,100,7,6.9
361,Pampakkuda BPHCArea,2015-16,2,852,715,311,83.9,36.5,833,529,97.8,62.1,628,73.7,9,0,0,0,0,0,0,NA,0,NA,0,292,34.3,292,100,100,0,0,120,41.1,NA,41.1,0,100,293,100.3,2,99.3,293,100,25,8.5
371,Pandappilly BPHCArea,2015-16,2,1978,1604,733,81.1,37.1,1791,1305,90.5,66,896,45.3,335,72,21.5,2,0,0,0,NA,0,NA,0,919,46.5,919,100,100,0,0,679,73.9,NA,73.9,0,100,1035,112.6,3,99.7,1035,100,400,38.6
381,Pizhala BPHCArea,2015-16,2,850,561,119,66,14,690,112,81.2,13.2,44,5.2,8,0,0,0.2,0,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
391,Ramamangalam BPHCArea,2015-16,2,604,528,198,87.4,32.8,593,256,98.2,42.4,428,70.9,2,0,0,0.2,0,0,0,NA,0,NA,0,50,8.3,50,100,100,0,0,35,70,NA,70,0,100,50,100,0,100,50,100,1,2
401,THQH Aluva,2015-16,2,184,123,2,66.8,1.1,162,2878,88,1564.1,366,198.9,272,0,0,26.6,0,0,0,NA,0,NA,1912,4981,2707.1,4981,100,100,0,1373,1433,56.3,71.8,46.7,38.4,61.6,5006,100.5,14,99.7,5006,100,647,12.9
411,THQH Kochi,2015-16,2,135,103,24,76.3,17.8,119,271,88.1,200.7,162,120,20,0,0,0,0,0,0,NA,0,NA,130,362,268.1,362,100,100,0,76,194,74.6,58.5,83.6,35.9,64.1,362,100,0,100,362,100,14,3.9
421,THQH Kothamangalam,2015-16,2,372,290,98,78,26.3,361,1905,97,512.1,523,140.6,36,0,0,5.1,0,0,0,NA,0,NA,169,2790,750,2790,100,100,0,112,970,38.8,66.3,37,6.1,93.9,2804,100.5,11,99.6,2804,100,138,4.9
431,THQH Muvatupuzha,2015-16,2,360,279,141,77.5,39.2,394,1197,109.4,332.5,697,193.6,236,1,0.4,54.4,0,0,0,NA,0,NA,1296,2462,683.9,2462,100,100,0,971,884,75.3,74.9,75.8,52.6,47.4,2533,102.9,1,100,2533,100,361,14.3
441,THQH N Paravur,2015-16,2,282,230,37,81.6,13.1,251,732,89,259.6,232,82.3,344,15,4.4,13.5,1,0,1,0,1,100,521,1847,655,1848,99.9,99.9,0.1,311,889,65,59.7,67,28.2,71.8,1858,100.5,4,99.8,1858,100,116,6.2
451,THQH Perumbavoor,2015-16,2,300,230,54,76.7,18,290,985,96.7,328.3,934,311.3,221,0,0,3.3,1,1,0,100,0,0,244,1500,500,1501,99.9,100,0.1,118,787,60.3,48.4,62.7,16.3,83.7,1504,100.2,1,99.9,1504,100,91,6.1
461,THQH Piravom,2015-16,2,0,0,0,NA,NA,0,55,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
471,THQH Tripunitura,2015-16,2,550,377,153,68.5,27.8,488,1468,88.7,266.9,672,122.2,61,9,14.8,8.7,0,0,0,NA,1,NA,355,1643,298.7,1643,100,100,0,204,822,62.4,57.5,63.8,21.6,78.4,1645,100.1,4,99.8,1645,100,132,8
481,Vadavucode CHCArea,2015-16,2,2047,1671,473,81.6,23.1,1967,994,96.1,48.6,1620,79.1,430,0,0,12.9,1,0,1,0,0,0,0,2614,127.7,2615,100,100,0,0,1020,39,NA,39,0,100,2659,101.7,28,99,2659,100,391,14.7
491,Varappetty BPHCArea,2015-16,2,1768,1527,676,86.4,38.2,1703,732,96.3,41.4,1435,81.2,27,0,0,0.4,7,0,7,0,0,0,0,0,0,7,0,0,100,0,0,NA,NA,NA,NA,NA,7,100,0,100,7,100,2,28.6
501,Varappuzha BPHCArea,2015-16,2,2379,1985,604,83.4,25.4,2092,869,87.9,36.5,1345,56.5,22,0,0,0.5,0,0,0,NA,0,NA,0,674,28.3,674,100,100,0,0,422,62.6,NA,62.6,0,100,676,100.3,0,100,676,100,48,7.1
511,Vengoor BPHCArea,2015-16,2,1876,1576,596,84,31.8,1734,679,92.4,36.2,1225,65.3,4,0,0,0.4,3,0,3,0,0,0,0,303,16.2,306,99,99,1,0,128,42.2,NA,42.2,0,100,307,100.3,0,100,307,100,17,5.5
521,W and C Mattanchery,2015-16,2,1958,1210,88,61.8,4.5,1760,1881,89.9,96.1,802,41,932,25,2.7,0.1,0,0,0,NA,0,NA,362,2107,107.6,2107,100,100,0,168,901,50.7,46.4,51.6,17.2,82.8,2109,100.1,3,99.9,2109,100,239,11.3
541,Chithirapuram CHCArea,2015-16,3,2489,2047,1672,82.2,67.2,2383,1537,95.7,61.8,1378,55.4,187,2,1.1,6.5,42,0,42,0,0,0,0,667,26.8,709,94.1,94.1,5.9,0,331,49.6,NA,49.6,0,100,703,99.2,9,98.7,703,100,116,16.5
551,DH Idukki,2015-16,3,0,0,0,NA,NA,0,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,604,604,NA,604,100,100,0,332,NA,55,55,NA,100,0,604,100,1,99.8,599,99.2,62,10.4
561,Muttom CHCArea,2015-16,3,2139,1732,1150,81,53.8,1906,672,89.1,31.4,853,39.9,52,0,0,0.1,1,0,1,0,0,0,0,52,2.4,53,98.1,98.1,1.9,0,24,46.2,NA,46.2,0,100,52,98.1,2,96.3,52,100,13,25
571,Pampadampara BPHC Area,2015-16,3,1280,1074,503,83.9,39.3,1169,1239,91.3,96.8,821,64.1,26,3,11.5,0.1,1,0,1,0,0,0,0,490,38.3,491,99.8,99.8,0.2,0,299,61,NA,61,0,100,483,98.4,9,98.2,478,99,24,5
581,Purapuzha CHC Area,2015-16,3,935,752,434,80.4,46.4,821,354,87.8,37.9,418,44.7,80,0,0,0.2,0,0,0,NA,0,NA,0,70,7.5,70,100,100,0,0,41,58.6,NA,58.6,0,100,72,102.9,0,100,72,100,9,12.5
591,Rajakkadu CHC Area,2015-16,3,990,829,591,83.7,59.7,979,600,98.9,60.6,664,67.1,10,0,0,0.7,1,0,1,0,0,0,0,9,0.9,10,90,90,10,0,4,44.4,NA,44.4,0,100,10,100,0,100,10,100,0,0
601,THQH Adimaly,2015-16,3,17,14,13,82.4,76.5,344,402,2023.5,2364.7,266,1564.7,469,19,4.1,641.2,0,0,0,NA,0,NA,799,1322,7776.5,1322,100,100,0,344,282,47.4,43.1,53.9,60.4,39.6,1368,103.5,3,99.8,1402,102.5,190,13.6
611,THQH Nedumkandom,2015-16,3,69,50,25,72.5,36.2,70,436,101.4,631.9,45,65.2,83,0,0,0,1,0,1,0,0,0,94,600,869.6,601,99.8,99.8,0.2,48,261,51.5,51.1,51.6,15.7,84.3,947,157.6,1,99.9,947,100,125,13.2
621,THQH Peerumedu,2015-16,3,13,13,6,100,46.2,81,83,623.1,638.5,73,561.5,14,2,14.3,0,0,0,0,NA,0,NA,5,41,315.4,41,100,100,0,0,22,53.7,0,61.1,12.2,87.8,41,100,0,100,41,100,11,26.8
631,THQH Thodupuzha,2015-16,3,819,560,227,68.4,27.7,741,4261,90.5,520.3,2632,321.4,3189,3,0.1,66.8,0,0,0,NA,0,NA,799,4269,521.2,4269,100,100,0,375,1719,49.1,46.9,49.5,18.7,81.3,5137,120.3,17,99.7,5137,100,624,12.1
641,Upputhara CHC Area,2015-16,3,2894,2395,1480,82.8,51.1,2381,1949,82.3,67.3,1727,59.7,174,0,0,1.8,6,0,6,0,0,0,0,1816,62.8,1822,99.7,99.7,0.3,0,838,46.1,NA,46.1,0,100,1829,100.4,9,99.5,1829,100,236,12.9
651,Vandiperiyar CHC Area,2015-16,3,1914,1650,1281,86.2,66.9,1813,1937,94.7,101.2,1041,54.4,141,2,1.4,0.5,7,0,7,0,0,0,0,853,44.6,860,99.2,99.2,0.8,0,433,50.8,NA,50.8,0,100,858,99.8,7,99.2,855,99.7,92,10.8
671,Azhikode CHCArea,2015-16,4,3147,2402,1113,76.3,35.4,2854,2170,90.7,69,2892,91.9,147,15,10.2,1,1,0,1,0,0,0,0,1165,37,1166,99.9,99.9,0.1,0,624,53.6,NA,53.6,0,100,1166,100,6,99.5,1056,90.6,315,29.8
681,Chittariparamba PHCArea,2015-16,4,2029,1729,854,85.2,42.1,2025,1074,99.8,52.9,1332,65.6,107,29,27.1,1.4,1,0,1,0,0,0,0,959,47.3,960,99.9,99.9,0.1,0,357,37.2,NA,37.2,0,100,964,100.4,2,99.8,963,99.9,137,14.2
691,DH Kannur,2015-16,4,209,148,193,70.8,92.3,225,1533,107.7,733.5,268,128.2,14,98,700,23.9,0,0,0,NA,1,NA,3149,10664,5102.4,10664,100,100,0,1668,2968,43.5,53,39.5,29.5,70.5,10551,98.9,28,99.7,10551,100,1127,10.7
701,Ezhome PHCArea,2015-16,4,2448,2128,708,86.9,28.9,2414,1283,98.6,52.4,2409,98.4,17,0,0,0.8,1,0,1,0,0,0,0,1747,71.4,1748,99.9,99.9,0.1,0,550,31.5,NA,31.5,0,100,1738,99.4,12,99.3,1738,100,377,21.7
